	id	name	cotwo
0	CHN	China	2.49
1	IND	India	1.97
2	USA	United States	2.64
3	IDN	Indonesia	1.41
4	BRA	Brazil	1.95
5	PAK	Pakistan	2.45
6	BGD	Bangladesh	1.62
7	NGA	Nigeria	2.14
8	RUS	Russia	4.22
9	JPN	Japan	1.97
10	MEX	Mexico	1.77
11	PHL	Philippines	1.3
12	VNM	Vietnam	1.31
13	ETH	Ethiopia	2.11
14	DEU	Germany	2.2
15	EGY	Egypt	1.92
16	TUR	Turkey	1.89
17	COD		1.91
18	IRN	Iran	1.96
19	THA	Thailand	1.48
20	FRA	France	1.81
21	GBR	United Kingdom	1.35
22	ITA	Italy	2.05
23	MMR	Burma	1.58
24	ZAF	South Africa	1.99
25	KOR	Korea, South	2.25
26	UKR	Ukraine	3.06
27	COL	Colombia	1.85
28	SDN	Sudan	2.12
29	TZA	Tanzania	1.81
30	ARG	Argentina	1.83
31	ESP	Spain	1.48
32	KEN	Kenya	1.92
33	POL	Poland	2.78
34	DZA	Algeria	1.99
35	CAN	Canada	3.99
36	UGA	Uganda	1.91
37	MAR	Morocco	1.8
38	PER	Peru	1.89
39	IRQ	Iraq	2.04
40	SAU	Saudi Arabia	2.08
41	AFG	Afghanistan	2.5
42	NPL	Nepal	2.39
43	UZB	Uzbekistan	2.4
44	VEN	Venezuela	2.04
45	MYS	Malaysia	1.46
46	GHA	Ghana	2.18
47	YEM	Yemen	1.86
48	PRK	Korea, North	2.92
49	SYR	Syria	1.94
50	ROU	Romania	2.72
51	MOZ	Mozambique	1.82
52	AUS	Australia	1.85
53	LKA	Sri Lanka	1.39
54	MDG	Madagascar	1.61
55	CIV	Cote d'Ivoire	2.16
56	CMR	Cameroon	2.14
57	NLD	Netherlands	1.83
58	CHL	Chile	1.53
59	BFA	Burkina Faso	2.23
60	NER	Niger	2.13
61	KAZ	Kazakhstan	2.98
62	MWI	Malawi	1.9
63	ECU	Ecuador	1.69
64	KHM	Cambodia	1.4
65	SEN	Senegal	2.17
66	MLI	Mali	2.24
67	GTM	Guatemala	1.74
68	AGO	Angola	1.98
69	ZMB	Zambia	1.9
70	ZWE	Zimbabwe	2.03
71	CUB	Cuba	1.39
72	RWA	Rwanda	1.85
73	GRC	Greece	1.87
74	PRT	Portugal	1.31
75	TUN	Tunisia	1.8
76	TCD	Chad	2.17
77	BEL	Belgium	1.81
78	GIN	Guinea	2.2
79	CZE	Czech Republic	2.58
80	SOM	Somalia	1.84
81	BOL	Bolivia	2.09
82	HUN	Hungary	2.78
83	BDI	Burundi	1.85
84	DOM	Dominican Republic	1.43
85	BLR	Belarus	3.49
86	HTI	Haiti	1.46
87	SWE	Sweden	3.46
88	BEN	Benin	2.21
89	AZE	Azerbaijan	1.89
90	AUT	Austria	2.47
91	HND	Honduras	1.71
92	CHE	Switzerland	2.12
93	TJK	Tajikistan	2.86
94	ISR	Israel	1.88
95	SRB	Serbia	2.56
96	BGR	Bulgaria	2.36
97	LAO	Laos	1.36
98	LBY	Libya	1.95
99	JOR	Jordan	1.98
100	PRY	Paraguay	2.12
101	TGO	Togo	2.23
102	PNG	Papua New Guinea	1.48
103	SLV	El Salvador	1.88
104	NIC	Nicaragua	1.76
105	ERI	Eritrea	1.87
106	DNK	Denmark	2.26
107	KGZ	Kyrgyzstan	2.68
108	SVK	Slovakia	2.83
109	FIN	Finland	4.41
110	SLE	Sierra Leone	1.97
111	ARE	United Arab Emirates	2.18
112	TKM	Turkmenistan	1.87
113	CAF	Central African Republic	2.24
114	SGP	Singapore	1.39
115	NOR	Norway	3.34
116	BIH	Bosnia and Herzegovina	2.52
117	GEO	Georgia	2.09
118	CRI	Costa Rica	1.7
119	HRV	Croatia	2.53
120	MDA	Moldova	2.94
121	NZL	New Zealand	1.35
122	IRL	Ireland	1.23
123	COG	Congo, Republic of the	1.94
124	LBN	Lebanon	1.82
125	PRI	Puerto Rico	1.38
126	LBR	Liberia	1.97
127	ALB	Albania	2.14
128	LTU	Lithuania	3.46
129	URY	Uruguay	1.61
130	PAN	Panama	1.6
131	MRT	Mauritania	2.24
132	MNG	Mongolia	2.7
133	OMN	Oman	1.94
134	ARM	Armenia	2.04
135	JAM	Jamaica	1.43
136	KWT	Kuwait	2.08
137	KWT	Kosovo	2.08
138	PSE	West Bank	1.7
139	LVA	Latvia	3.73
140	NAM	Namibia	2.16
141	MKD	Macedonia	2.19
142	BWA	Botswana	2.24
143	SVN	Slovenia	2.54
144	GRL	Greenland	2.95
145	LSO	Lesotho	1.89
146	GMB	Gambia, The	2.13
147	GNB	Guinea-Bissau	1.95
148	GAB	Gabon	1.81
149	SWZ	Swaziland	1.84
150	EST	Estonia	3.88
151	TTO	Trinidad and Tobago	1.48
152	TLS	Timor-Leste	1.36
153	CYP	Cyprus	1.72
154	FJI	Fiji	1.35
155	QAT	Qatar	2.03
156	GUY	Guyana	2.09
157	DJI	Djibouti	1.95
158	BTN	Bhutan	2.07
159	MNE	Montenegro	2.35
160	GNQ	Equatorial Guinea	1.85
161	SLB	Solomon Islands	1.44
162	LUX	Luxembourg	2.1
163	ESH	Western Sahara	1.94
164	SUR	Suriname	1.97
165	BRN	Brunei	1.38
166	BLZ	Belize	1.65
167	BHS	Bahamas, The	1.41
168	ISL	Iceland	2.09
169	NCL	New Caledonia	1.43
170	VUT	Vanuatu	1.42
171	FLK	Falkland Islands (Islas Malvinas)	0.87
